NEW_LANGUAGE_ISSUE,PARTICIPANTS,DURATION,OLD_LANGUAGE_ISSUE,RELATED_LEVEL,RELATED_CLASS,ISSUE_ASKER,PYTHON_USER,R_USER,MULTI-LANGUAGE_USER
https://github.com/grf-labs/grf/issues/14,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/140,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/141,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/142,1,1,https://github.com/scikit-learn/scikit-learn/issues/448,R,O,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/143,2,72,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/144,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/145,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/146,2,32,None,W,W,eddelbuettel,0,1,1
https://github.com/grf-labs/grf/issues/147,2,5,None,W,W,andreacaflisch,0,0,0
https://github.com/grf-labs/grf/issues/148,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/149,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/15,1,1,https://github.com/scikit-learn/scikit-learn/issues/326,Y,O,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/150,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/151,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/152,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/153,1,2,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/154,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/155,1,1,https://github.com/scikit-learn/scikit-learn/issues/5646,Y,B,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/156,1,1,https://github.com/scikit-learn/scikit-learn/issues/2399,Y,O,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/157,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/158,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/159,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/16,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/160,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/161,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/162,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/163,1,1,None,W,W,jtibshirani,1,0,1
https://github.com/grf-labs/grf/issues/164,1,1,None,W,W,jtibshirani,1,0,1
